Graph_Nodes,Obstacle_Density_Pct,Trial_ID,Algorithm,Runtime_ms,Peak_Memory_MB,Nodes_Evaluated,Path_Found
4000,5,1,Dijkstra,89.9139,0.173943,1563,True
4000,5,1,A*,3.3488,0.02388,24,True
4000,5,2,Dijkstra,42.8803,0.069115,740,True
4000,5,2,A*,2.663,0.008438,32,True
4000,5,3,Dijkstra,215.3782,0.305748,3940,True
4000,5,3,A*,15.7676,0.072952,226,True
4000,5,4,Dijkstra,107.4474,0.142899,2432,True
4000,5,4,A*,6.8947,0.049156,126,True
4000,5,5,Dijkstra,48.9509,0.140106,1315,True
4000,5,5,A*,3.8523,0.022911,59,True
4000,15,1,Dijkstra,109.6269,0.140587,2429,True
4000,15,1,A*,3.3798,0.022301,35,True
4000,15,2,Dijkstra,85.9523,0.158051,2635,True
4000,15,2,A*,12.9883,0.044701,293,True
4000,15,3,Dijkstra,113.132,0.138161,2378,True
4000,15,3,A*,5.1389,0.043396,117,True
4000,15,4,Dijkstra,55.3344,0.070137,789,True
4000,15,4,A*,3.6464,0.0103,38,True
4000,15,5,Dijkstra,91.7036,0.153091,1740,True
4000,15,5,A*,7.6385,0.029282,85,True
4000,25,1,Dijkstra,6.6795,0.016327,223,True
4000,25,1,A*,0.3621,0.003525,7,True
4000,25,2,Dijkstra,105.0629,0.138252,2495,True
4000,25,2,A*,18.6392,0.04557,287,True
4000,25,3,Dijkstra,85.5094,0.139343,2294,True
4000,25,3,A*,14.2211,0.047356,221,True
4000,25,4,Dijkstra,131.3683,0.137985,2846,True
4000,25,4,A*,11.2698,0.046356,325,True
4000,25,5,Dijkstra,59.6965,0.172478,1907,True
4000,25,5,A*,2.6659,0.023552,48,True
13500,5,1,Dijkstra,340.6414,0.613205,7655,True
13500,5,1,A*,26.3643,0.087341,585,True
13500,5,2,Dijkstra,214.8742,0.638046,5891,True
13500,5,2,A*,12.3198,0.04628,153,True
13500,5,3,Dijkstra,69.6536,0.178612,1780,True
13500,5,3,A*,2.0935,0.021637,42,True
13500,5,4,Dijkstra,212.1724,0.60804,5639,True
13500,5,4,A*,1.4875,0.019432,27,True
13500,5,5,Dijkstra,531.0025,1.176613,15048,True
13500,5,5,A*,160.7721,0.451393,3023,True
13500,15,1,Dijkstra,470.9883,1.172859,14186,True
13500,15,1,A*,38.9343,0.210114,999,True
13500,15,2,Dijkstra,317.389,0.608322,9390,True
13500,15,2,A*,14.0349,0.047745,310,True
13500,15,3,Dijkstra,290.7015,0.619278,9561,True
13500,15,3,A*,8.8454,0.053711,221,True
13500,15,4,Dijkstra,399.4702,0.610741,11661,True
13500,15,4,A*,35.128,0.093117,622,True
13500,15,5,Dijkstra,468.864,0.604591,13455,True
13500,15,5,A*,25.8401,0.097099,208,True
13500,25,1,Dijkstra,386.7139,0.605316,11418,True
13500,25,1,A*,26.7314,0.093025,630,True
13500,25,2,Dijkstra,175.7749,0.316925,2763,True
13500,25,2,A*,9.6471,0.026443,83,True
13500,25,3,Dijkstra,334.5293,0.570549,12005,True
13500,25,3,A*,53.489,0.181862,1194,True
13500,25,4,Dijkstra,203.2382,0.600731,7543,True
13500,25,4,A*,10.496,0.048828,265,True
13500,25,5,Dijkstra,113.7205,0.314919,3858,True
13500,25,5,A*,4.8585,0.030968,135,True
50000,5,1,Dijkstra,1015.8609,1.264259,23498,True
50000,5,1,A*,64.5193,0.186401,1069,True
50000,5,2,Dijkstra,1344.2756,2.62252,35409,True
50000,5,2,A*,57.232,0.216339,1011,True
50000,5,3,Dijkstra,1440.6742,2.458282,33134,True
50000,5,3,A*,182.8109,0.427925,3800,True
50000,5,4,Dijkstra,1606.4192,2.468826,39958,True
50000,5,4,A*,93.8483,0.340416,2029,True
50000,5,5,Dijkstra,1863.1988,4.898514,53300,True
50000,5,5,A*,694.5506,1.222603,17397,True
50000,15,1,Dijkstra,349.6374,0.634598,9659,True
50000,15,1,A*,10.183,0.055542,283,True
50000,15,2,Dijkstra,1505.3347,2.436935,46380,True
50000,15,2,A*,450.9301,0.752136,8790,True
50000,15,3,Dijkstra,299.0689,0.660858,8663,True
50000,15,3,A*,7.9212,0.043831,181,True
50000,15,4,Dijkstra,121.2067,0.336105,3348,True
50000,15,4,A*,2.7958,0.019592,59,True
50000,15,5,Dijkstra,256.8214,0.628365,8064,True
50000,15,5,A*,7.223,0.044151,153,True
50000,25,1,Dijkstra,668.1031,1.20916,22700,True
50000,25,1,A*,84.9787,0.192535,1333,True
50000,25,2,Dijkstra,722.1516,1.176468,22928,True
50000,25,2,A*,127.1106,0.410484,3968,True
50000,25,3,Dijkstra,658.3093,1.175323,15327,True
50000,25,3,A*,23.97,0.105263,521,True
50000,25,4,Dijkstra,530.1009,1.178528,20243,True
50000,25,4,A*,34.6856,0.091141,820,True
50000,25,5,Dijkstra,1175.2119,2.426781,32769,True
50000,25,5,A*,331.4702,0.489319,6095,True
